"workerid","trial_type","question","focus","verb.phrase","verb","noun.phrase","context","entire.sentence","tgrep.id","right_side"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.92,"have  to be convinced  of that","have","men","###yeah,###well, she&quotechars usually in bed by this time,###but she&quotechars staying up late tonight.###but,###yeah,###i want  to have a relationship with her.###you know, my dad was a very traditional dad,###and when i was a child  i didn&quotechart really know my dad very well,###and i miss that.###and i want,###speakera158.###that&quotechars the thing,### if woman&quotechars role, like we said, if women&quotechars roles change drastically, men&quotechars roles will,  too.###speakerb159.###yeah,","but men have  to be convinced  of that.","28363:6","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.06,"help  create that","help","lawyers","###speakerb148.###speakera149.### i mean, i, i mean teachers are so afraid  now of  even saying something, to students because they&quotecharre going get, they&quotecharre going  to get complaints or they&quotecharre going  to get sued  or something.###speakerb15.###uh-huh.###speakera151.###speakerb152.###it&quotechars like doctors in lawsuits,###speakera153.###oh yeah.###speakerb154.###you know, they&quotecharre kind of fearful of, everything.###speakera155.###speakerb156.###speakera157.","well, lawyers help  create that.","27281:9","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.89,"come down  to supervise or, whatever","come","parents","###speakera133.###speakerb134.###uh-huh,###uh-huh.###speakera135.###we might be able  to exchange that way.###speakerb136.###uh-huh.###speakera137.###and so we will just have  to see how things work out .###but i think  the whole, you know, ideally i think, uh,  business should have the, day care centers there, whether it&quotechars the parents who  take turns  watching the kids, or whether###speakerb138.###i do too.###speakera139.###they hire a couple of people","and, uh, you know, parents come down  to supervise or, whatever.","97451:23","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.91,"are kind of a problem","are","winters","###in fact a lot of people will ride outside in the snow.###they&quotecharve got a, uh, mountain bike, you know, with the big knobby tires.###speakera14.###speakerb15.###speakera16.###yeah.###speakerb17.###and, i don&quotechart do that.### i basically, i, i pretty much lay off for the winter.###uh, i was thinking of  getting rollers for the last winter, you know, because it will help your balance when you&quotecharre indoor training .###speakera18.###um.###speakerb19.###uh, but i just, you know, more or less stocked, like an exercise bike and that kind of thing., uh,###but, yeah,","i mean winters are kind of a problem","67262:12","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.05,"don&quotechart tend  to knock","do","people","###certainly the language  i know  doesn&quotechart, but just says a word for loneliness.###speakerb74.###oh, that&quotechars interesting.###speakera75.###loneliness  is the closest  you can come , which  is really quite different.###speakerb76.### but, but no concept for  wanting  to be private.###speakera77.###yeah.### it&quotechars, it&quotechars generally   being alone is not a very desirable state, at least officially.###speakerb78.###okay.###speakera79.###um, so there&quotechars not,###i mean, doors don&quotechart have latches on them.","people don&quotechart tend  to knock,","175:4","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.05,"say that","say","people","###speakera17.###so.###speakerb18.###uh, th-, the other argument is that the death penalty is a deterrent###and i really don&quotechart, uh, agree with that.###i don&quotechart think  anyone who  would commit a, uh, a crime that  would get them the death penalty would stop at the moment and say, well, i was about  to kill and dismember this person###but, oh, if they catch me they&quotecharre going  to kill me###so i better not do it.### i, i just, don&quotechart think that, uh, that it works that way.###speakera19.###yeah.###speakerb2.###speakera21.###i don&quotechart think  it&quotechars done .###i don&quotechart think  we run it as a deterrent.","i mean people say that,","158267:12","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,"are real high maintenances","are","dogs","###uh-huh.###speakera17.###um, but we, um, we house sat for a, um, my, um, my wife&quotechars boss a couple weeks ago###and, um, uh, he has a dog and everything,### we were, you know, we were sitting the dog and everything###and, uh, i felt like just miserable all weekend###and it really didn&quotechart dawn on me until sunday,###it was like, hey, maybe you&quotecharre still allergic to the dog.###it was like, oh, that could be it.###speakerb18.###the thing   i don&quotechart like  about dogs sometimes is that the house will just reek, of the dogs, and constantly.###speakera19.###yeah.###speakerb2.###speakera21.","well, dogs are real high maintenances,","59934:9","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.07,"are just as much of a blessing inside these material things","are","kids","###he just works a normal job.###he probably has an income of thirty-five thousand,###but last year he made mumblex###that got him a bonus of twenty-five thousand which  allowed him to pay cash for a full size van.###speakerb122.###speakera123.###he loves god,###i mean, it was the biggest thing that any one in this company had ever done ,###speakerb124.###wow.###speakera125.###and he got  to do it###and so god just really blesses him in ways like that,### do trust god because, i don&quotechart know, kids are a blessing### and, and some people mumblex you know, we think of blessings as nice furniture and things like that,","but kids are just as much of a blessing inside these material things","47743:6","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.03,"are trapped  economically","are","people","###yes,###well, yeah###i am .###oh,###speakerb8.###okay.###speakera9.### a-, actually i think that, i, higher level education,###i don&quotechart think  there&quotechars so much of a problem there.###it&quotechars pretty much funded  well.###there are small colleges that i&quotecharm sure   are struggling###but, uh, it&quotechars the job that the, the high school and the grade schools are doing  that i see, in a area like ours,###our school,###even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider  moving if i had a child.###i wouldn&quotechart let them go to a public school system there.","but, of course, people are trapped  economically","24791:16","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.02,"are crazy","are","people","###and he&quotechars like oh,  thank you so much.###speakera49.###i wonder how many of his lives he missed , when that happened .###speakerb5.###i know,###we wondered about that.###but, uh, oh that was a traumatic experience for us too.###speakera51.###oh, i can imagine,###what did he shoot him with .###speakerb52.###uh, well, uh, from what we can tell  it was a pellet gun###and then he started  chasing him with a bull whip.###speakera53.###oh my gosh.","people are crazy.","1415:4","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.05,"are good all the time","are","cats","###speakerb154.###oh, goodness.###you get so attached to them.###speakera155.###oh definitely.###speakerb156.###my mother has dogs###and i&quotecharm like, no.###speakera157.###yeah.###speakerb158.###this is nothing like cats.###speakera159.###you can walk a dog###and that&quotechars okay for weekend","but cats are good all the time.","171:6","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.1,"are really concerned","are","people","###and i started  doing that at work.###um, i put out a, a trash can and, and  for people to put their aluminum cans in ,###speakera27.###uh-huh.###speakerb28.###and that&quotechars really helped a lot,###i mean, everybody&quotechars pitched in###and, you know, it exp doesn&quotechart bother them  to walk little bit farther put their aluminum in a can rather than  just throwing it in their trash can.###speakera29.###yeah.###speakerb3.###speakera31.###yeah.###speakerb32.###so, i really, i really like that,","but, people are really concerned,","11134:8","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.97,"don&quotechart pay for groceries and stuff","do","loans","###yeah.###speakera39.###because i work now,###i work full time###and, uh, you know, it,###when you put them through college  it just takes just about everything  you got .###speakerb4.###yeah.###speakera41.###they get loans and grants and scholarships and stuff like that,###that helps out,###but still, it cost a lot.###speakerb42.###oh, yeah,###i mean, just the, you know, the cost of living","and loans don&quotechart pay for groceries and stuff.","5958:6","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.96,"aren&quotechart none too shallow these days anyway","are","interest rates","###speakerb17.###speakera18.###d-,###yeah,### i, i made a rule  with myself when i got one  that if i couldn&quotechart pay it in full every month that i&quotechard have  to rip it up,###so.###speakerb19.###yeah.###speakera2.###speakerb21.###that&quotechars a good idea.### stops all them interest rates,###speakera22.###that&quotechars,###speakerb23.","and interest rates aren&quotechart none too shallow these days anyway.","113118:8","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,"are probably the most fickle people in the world","are","football fans","###and so pretty fast turnaround.###but this year they made it to playoffs###and today was  the first game###and they beat the chicago bears###so everybody&quotechars really going crazy, you know, down here.###speakerb22.###i&quotecharll bet  they are .###speakera23.###they&quotecharre going crazy,### so, so they turned it around,###but, you know, they have a lot of young exciting players now, uh,###i mean, everybody was real upset, you know, when they fired tom landry ,###but, you know, now it&quotechars like, you know, they&quotecharre doing good###so everybody&quotechars forgotten about that.###speakerb24.","uh, football fans are probably the most fickle people in the world.","137655:11","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.93,"are notorious","are","school buses","###well,###speakera71.###speakerb72.###supposedly that&quotechars supposed  to catch it.###but i&quotecharll tell you what,###and even these buses, oh lord, it real bad.###these buses in raleigh,###speakera73.###yeah,###school buses and the commercial buses,###speakerb74.###oh, yeah.###speakera75.###yeah.###speakerb76.","i mean, school buses are notorious.","8185:16","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,"are so messy","are","rollers","###it was like over two hundred dollars worth of free stuff.###speakera115.###oh, my word.###speakerb116.###speakera117.###oh, my word.###well, he really saved in that way.###speakerb118.###yeah.###speakera119.###but, yeah,###i think  we are going  to do, uh, another bathroom,###but i think  i will probably just do it, in a roller.###i want  to do it  about the same color. and just be a little,###speakerb12.","uh. rollers are so messy.","142815:9","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,"are crippled","are","husbands","###that&quotechars a part of the problem that women have always had ###and that is  accepting responsibility for things that  really are other people&quotechars responsibilities.###speakera171.###that&quotechars very true.###speakerb172.### they, they,###speakera173.###and then that way, we have not changed in, hundreds of years, have we .###speakerb174.###speakera175.###speakerb176.###that&quotechars right.###speakera177.###yeah.###speakerb178.","that way husbands are crippled,","9738:9","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.92,"want all of that","want","people","###speakerb58.###uh-huh.###speakera59.###speakerb6.###okay.###speakera61.###so.###i mean i have met people that, uh, both that, that  just want  to maintain a, the standard of living and those that, that  really need the job.###speakerb62.###okay.###and then, sometimes i, i often, uh, find that maybe there&quotechars so many different things available to us. yo-, a microwave, a v c r, a answering machine a, you know, a special, a dishwasher, uh, a refrigerator and some of those items, um, for the, for the, uh,###speakera63.###uh-huh.###speakerb64.###well i guess  we&quotecharre sticking more to social changes","but, uh people want all of that","166244:11","NP"
0,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.03,"cost a lot more","cost","things","###i mean, there were five of us###and i don&quotechart recall, you know,  wanting anything in particular.###uh, but i don&quotechart know how my father did it .###he worked at a truck line###and he just didn&quotechart make that kind of money with five children.###but we did okay.###we had a house and a home and,###but now, my wife and i both work###and we don&quotechart, i don&quotechart believe  we have as much as my parents did###and we only have one child.###speakera6.###really?###speakerb61.###uh-huh.###speakera62.","well, things cost a lot more.","176:9","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.71,"don&quotechart tend  to knock","do","people","###certainly the language  i know  doesn&quotechart, but just says a word for loneliness.###speakerb74.###oh, that&quotechars interesting.###speakera75.###loneliness  is the closest  you can come , which  is really quite different.###speakerb76.### but, but no concept for  wanting  to be private.###speakera77.###yeah.### it&quotechars, it&quotechars generally   being alone is not a very desirable state, at least officially.###speakerb78.###okay.###speakera79.###um, so there&quotechars not,###i mean, doors don&quotechart have latches on them.","people don&quotechart tend  to knock,","175:4","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",1,"are notorious","are","school buses","###well,###speakera71.###speakerb72.###supposedly that&quotechars supposed  to catch it.###but i&quotecharll tell you what,###and even these buses, oh lord, it real bad.###these buses in raleigh,###speakera73.###yeah,###school buses and the commercial buses,###speakerb74.###oh, yeah.###speakera75.###yeah.###speakerb76.","i mean, school buses are notorious.","8185:16","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.88,"do happen severely a few times a year","do","things","###well, it&quotechars based  here,###uh, the international headquarters for wycliff bible translators is right here in, in dallas.###speakerb93.###so you&quotecharre, you&quotecharre with the home office now.###speakera94.###yeah,###right now i am .###that&quotechars what  brought me here,###yeah.###speakerb95.###well, the, uh, i think, uh,  all in all there are a lot worse climates than dallas, uh,###the weather you know, does change fast###speakera96.###yeah.###speakerb97.","and things do happen severely a few times a year,","139264:6","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.05,"use fed ex, all the time","use","people","###and that&quotechars made a difference in the way  i do my job  because it exp&quotechars so much easier  to get hold of people and get quick answers to things. even when they&quotecharre on another continent .###speakerb116.###yeah.###speakera117.###speakerb118.###it&quotechars pretty wild.###speakera119.###yeah.###even, you know,###that reminds me,###federal express was around ten years ago,###but it was used  as kind of an extreme emergency###speakerb12.###uh-huh.###speakera121.","and nowadays people use fed ex, all the time.","75236:9","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",1,"seem  to be always in the mood","seem","dogs","###so, you know, i never really had them around me, you know,###so i&quotecharve never owned one, you know, since i,###speakerb114.###well, they&quotecharre really a lot different than dogs because they&quotecharre not, they&quotecharre very independent,###and they&quotecharre very, he&quotechars very affectionate when he wants  to be  ,###but if you want him to be  and he doesn&quotechart want  to be , he&quotecharll just, he&quotecharll, you know either scratch you or run away.###speakera115.###huh.###speakerb116.###but when he wants  to be  , uh, he&quotechars really affectionate.###he likes  to lay next to you and have you scratch his head and, and, and snuggle up to you,### and, but if he&quotechars not in the mood, you&quotechard better  stay away from him.###speakera117.###huh.###speakerb118.","but, dogs seem  to be always in the mood.","61455:8","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",1,"don&quotechart stay afloat that long","do","companies","###my place you get two weeks when you start ###and then every, every year they give you an extra day until you&quotecharve got four weeks.###speakera31.###oh, that&quotechars nice.###we don&quotechart get them till, till your seventh year of service till you get an extra week.###speakerb32.###aye.###speakera33.###speakerb34.###that&quotechars a long time.###speakera35.###yeah,###it&quotechars, uh,###speakerb36.###yeah,","especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,","1679:53","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.01,"are trapped  economically","are","people","###yes,###well, yeah###i am .###oh,###speakerb8.###okay.###speakera9.### a-, actually i think that, i, higher level education,###i don&quotechart think  there&quotechars so much of a problem there.###it&quotechars pretty much funded  well.###there are small colleges that i&quotecharm sure   are struggling###but, uh, it&quotechars the job that the, the high school and the grade schools are doing  that i see, in a area like ours,###our school,###even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider  moving if i had a child.###i wouldn&quotechart let them go to a public school system there.","but, of course, people are trapped  economically","24791:16","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.75,"are really concerned","are","people","###and i started  doing that at work.###um, i put out a, a trash can and, and  for people to put their aluminum cans in ,###speakera27.###uh-huh.###speakerb28.###and that&quotechars really helped a lot,###i mean, everybody&quotechars pitched in###and, you know, it exp doesn&quotechart bother them  to walk little bit farther put their aluminum in a can rather than  just throwing it in their trash can.###speakera29.###yeah.###speakerb3.###speakera31.###yeah.###speakerb32.###so, i really, i really like that,","but, people are really concerned,","11134:8","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.18,"say that","say","people","###speakera17.###so.###speakerb18.###uh, th-, the other argument is that the death penalty is a deterrent###and i really don&quotechart, uh, agree with that.###i don&quotechart think  anyone who  would commit a, uh, a crime that  would get them the death penalty would stop at the moment and say, well, i was about  to kill and dismember this person###but, oh, if they catch me they&quotecharre going  to kill me###so i better not do it.### i, i just, don&quotechart think that, uh, that it works that way.###speakera19.###yeah.###speakerb2.###speakera21.###i don&quotechart think  it&quotechars done .###i don&quotechart think  we run it as a deterrent.","i mean people say that,","158267:12","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.14,"cost a lot more","cost","things","###i mean, there were five of us###and i don&quotechart recall, you know,  wanting anything in particular.###uh, but i don&quotechart know how my father did it .###he worked at a truck line###and he just didn&quotechart make that kind of money with five children.###but we did okay.###we had a house and a home and,###but now, my wife and i both work###and we don&quotechart, i don&quotechart believe  we have as much as my parents did###and we only have one child.###speakera6.###really?###speakerb61.###uh-huh.###speakera62.","well, things cost a lot more.","176:9","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",1,"are so messy","are","rollers","###it was like over two hundred dollars worth of free stuff.###speakera115.###oh, my word.###speakerb116.###speakera117.###oh, my word.###well, he really saved in that way.###speakerb118.###yeah.###speakera119.###but, yeah,###i think  we are going  to do, uh, another bathroom,###but i think  i will probably just do it, in a roller.###i want  to do it  about the same color. and just be a little,###speakerb12.","uh. rollers are so messy.","142815:9","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.99,"know that","know","technical people","###i&quotecharm not at the col-, the big college park campus, you know,###that&quotechars the big one with the football team.###speakerb82.###yeah.###speakera83.###so i, i think, um, i think  you&quotecharre right, that there&quotechars a lot of, there&quotechars difficult decisions  there based  on name recognition.###um, you know, when i first was applying for graduate schools , i applied to some big programs , you know, in this area, like stevens institute of technology, which  is recognized  in the northeast as, as, you know, one step below m i t in a sense, you know,###speakerb84.###yeah.###speakera85.###so it&quotechars got big name recognition in this area,###a big science school, no football team, but a big science school,###speakerb86.###yeah.###speakera87.","and technical people know that.","9996:8","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.87,"don&quotechart pay for groceries and stuff","do","loans","###yeah.###speakera39.###because i work now,###i work full time###and, uh, you know, it,###when you put them through college  it just takes just about everything  you got .###speakerb4.###yeah.###speakera41.###they get loans and grants and scholarships and stuff like that,###that helps out,###but still, it cost a lot.###speakerb42.###oh, yeah,###i mean, just the, you know, the cost of living","and loans don&quotechart pay for groceries and stuff.","5958:6","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.93,"are kind of a problem","are","winters","###in fact a lot of people will ride outside in the snow.###they&quotecharve got a, uh, mountain bike, you know, with the big knobby tires.###speakera14.###speakerb15.###speakera16.###yeah.###speakerb17.###and, i don&quotechart do that.### i basically, i, i pretty much lay off for the winter.###uh, i was thinking of  getting rollers for the last winter, you know, because it will help your balance when you&quotecharre indoor training .###speakera18.###um.###speakerb19.###uh, but i just, you know, more or less stocked, like an exercise bike and that kind of thing., uh,###but, yeah,","i mean winters are kind of a problem","67262:12","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.9,"are good all the time","are","cats","###speakerb154.###oh, goodness.###you get so attached to them.###speakera155.###oh definitely.###speakerb156.###my mother has dogs###and i&quotecharm like, no.###speakera157.###yeah.###speakerb158.###this is nothing like cats.###speakera159.###you can walk a dog###and that&quotechars okay for weekend","but cats are good all the time.","171:6","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.76,"aren&quotechart parents any more","are","parents","###i know.###speakerb12.###for what.###speakera121.###i know.###speakerb122.### give me the money###and i&quotecharll, i&quotecharll teach them something good.###speakera123.###well, you know, you know  why they do it  is so they can get them out of the house.###speakerb124.###yeah.###speakera125.###yeah,###uh, that&quotechars my other complaint.","parents aren&quotechart parents any more.","36123:4","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.86,"help  create that","help","lawyers","###speakerb148.###speakera149.### i mean, i, i mean teachers are so afraid  now of  even saying something, to students because they&quotecharre going get, they&quotecharre going  to get complaints or they&quotecharre going  to get sued  or something.###speakerb15.###uh-huh.###speakera151.###speakerb152.###it&quotechars like doctors in lawsuits,###speakera153.###oh yeah.###speakerb154.###you know, they&quotecharre kind of fearful of, everything.###speakera155.###speakerb156.###speakera157.","well, lawyers help  create that.","27281:9","NP"
1,"single_generic_trial","In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.14,"are just as much of a blessing inside these material things","are","kids","###he just works a normal job.###he probably has an income of thirty-five thousand,###but last year he made mumblex###that got him a bonus of twenty-five thousand which  allowed him to pay cash for a full size van.###speakerb122.###speakera123.###he loves god,###i mean, it was the biggest thing that any one in this company had ever done ,###speakerb124.###wow.###speakera125.###and he got  to do it###and so god just really blesses him in ways like that,### do trust god because, i don&quotechart know, kids are a blessing### and, and some people mumblex you know, we think of blessings as nice furniture and things like that,","but kids are just as much of a blessing inside these material things","47743:6","NP"
