workerid,trial_type,question,focus,verb phrase,verb,noun phrase,entire sentence,tgrep id,right_side
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.22,seem  to be always in the mood,seem,dogs,"but, dogs seem  to be always in the mood.",61455:8,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.18,are okay,are,blues,"uh, uh, blues are okay.",148447:14,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.24,cost a lot more,cost,things,"well, things cost a lot more.",176:9,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.44,are darling,are,rabbits,"well, rabbits are darling.",149639:9,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.24,aren&quotechart none too shallow these days anyway,are,interest rates,and interest rates aren&quotechart none too shallow these days anyway.,113118:8,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.2,are crippled,are,husbands,"that way husbands are crippled,",9738:9,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.15,do happen severely a few times a year,do,things,"and things do happen severely a few times a year,",139264:6,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.57,don&quotechart stay afloat that long,do,companies,"especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,",1679:53,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.52,are notorious,are,school buses,"i mean, school buses are notorious.",8185:16,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.66,help  create that,help,lawyers,"well, lawyers help  create that.",27281:9,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.61,are real high maintenances,are,dogs,"well, dogs are real high maintenances,",59934:9,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.6,are crazy,are,people,people are crazy.,1415:4,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.54,are a large volume of annual trash,are,phone books,and phone books are a large volume of annual trash.,16679:8,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.35,say that,say,people,"i mean people say that,",158267:12,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.6,don&quotechart pay for groceries and stuff,do,loans,and loans don&quotechart pay for groceries and stuff.,5958:6,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.65,are just as much of a blessing inside these material things,are,kids,but kids are just as much of a blessing inside these material things,47743:6,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.65,know that,know,technical people,and technical people know that.,9996:8,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.3,have  to be convinced  of that,have,men,but men have  to be convinced  of that.,28363:6,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.27,are trapped  economically,are,people,"but, of course, people are trapped  economically",24791:16,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.31,are good all the time,are,cats,but cats are good all the time.,171:6,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.62,don&quotechart tend  to knock,do,people,"people don&quotechart tend  to knock,",175:4,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.6,want all of that,want,people,"but, uh people want all of that",166244:11,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.59,are so messy,are,rollers,uh. rollers are so messy.,142815:9,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.59,aren&quotechart parents any more,are,parents,parents aren&quotechart parents any more.,36123:4,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.4,are probably the most fickle people in the world,are,football fans,"uh, football fans are probably the most fickle people in the world.",137655:11,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.63,don&quotechart require mechanics,do,diesels,"diesels don&quotechart require mechanics,",57573:4,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.55,are really concerned,are,people,"but, people are really concerned,",11134:8,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.25,don&quotechart tend  to knock,do,people,"people don&quotechart tend  to knock,",175:4,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.13,don&quotechart pay for groceries and stuff,do,loans,and loans don&quotechart pay for groceries and stuff.,5958:6,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.85,are crazy,are,people,people are crazy.,1415:4,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.23,do happen severely a few times a year,do,things,"and things do happen severely a few times a year,",139264:6,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.89,are kind of a problem,are,winters,i mean winters are kind of a problem,67262:12,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.68,cost a lot more,cost,things,"well, things cost a lot more.",176:9,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.85,are okay,are,blues,"uh, uh, blues are okay.",148447:14,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.16,have  to be convinced  of that,have,men,but men have  to be convinced  of that.,28363:6,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.26,don&quotechart stay afloat that long,do,companies,"especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,",1679:53,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.89,are just as much of a blessing inside these material things,are,kids,but kids are just as much of a blessing inside these material things,47743:6,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.23,want all of that,want,people,"but, uh people want all of that",166244:11,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.87,are probably the most fickle people in the world,are,football fans,"uh, football fans are probably the most fickle people in the world.",137655:11,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.68,are real high maintenances,are,dogs,"well, dogs are real high maintenances,",59934:9,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.9,aren&quotechart parents any more,are,parents,parents aren&quotechart parents any more.,36123:4,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.25,seem  to be always in the mood,seem,dogs,"but, dogs seem  to be always in the mood.",61455:8,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.93,are darling,are,rabbits,"well, rabbits are darling.",149639:9,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.66,"come down  to supervise or, whatever",come,parents,"and, uh, you know, parents come down  to supervise or, whatever.",97451:23,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.14,are really concerned,are,people,"but, people are really concerned,",11134:8,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.29,are a large volume of annual trash,are,phone books,and phone books are a large volume of annual trash.,16679:8,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.9,don&quotechart require mechanics,do,diesels,"diesels don&quotechart require mechanics,",57573:4,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.18,are good all the time,are,cats,but cats are good all the time.,171:6,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.79,know that,know,technical people,and technical people know that.,9996:8,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.83,are notorious,are,school buses,"i mean, school buses are notorious.",8185:16,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.9,are crippled,are,husbands,"that way husbands are crippled,",9738:9,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.8,help  create that,help,lawyers,"well, lawyers help  create that.",27281:9,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.21,are so messy,are,rollers,uh. rollers are so messy.,142815:9,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.08,"use fed ex, all the time",use,people,"and nowadays people use fed ex, all the time.",75236:9,NP
4,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.79,are trapped  economically,are,people,"but, of course, people are trapped  economically",24791:16,NP
