"workerid","trial_type","question","verb.phrase","entire.sentence","specific","noun.phrase","response","tgrep.id","order"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","change","so things change, i guess  .","","things","General","1519:8",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are so messy","uh. rollers are so messy.","","rollers","General","142815:9",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are not so good in texas job wise","things are not so good in texas job wise.","","things","General","12771:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart cheap anyway","well, new cars aren&quotechart cheap anyway,","","new cars","General","46874:11",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart cheap anyway","well, new cars aren&quotechart cheap anyway,","","new cars","General","46874:11",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart parents any more","parents aren&quotechart parents any more.","uninvolved parents","parents","Specific","36123:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are real high maintenances","well, dogs are real high maintenances,","","dogs","General","59934:9",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","cost a lot more","well, things cost a lot more.","","things","General","176:9",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are such a strange configuration anymore","families are such a strange configuration anymore.","nontraditional families","families","Specific","7279:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are really high","deductibles are really high,","insurance deductibles","deductibles","Specific","163:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are around the house a whole lot more than girls","and little boys are around the house a whole lot more than girls.","","little boys","General","116994:8",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are probably the most fickle people in the world","uh, football fans are probably the most fickle people in the world.","","football fans","General","137655:11",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are out","kids are out.","","kids","General","123596:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart require mechanics","diesels don&quotechart require mechanics,","","diesels","General","57573:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are good all the time","but cats are good all the time.","house cats","cats","Specific","171:6",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are expensive though","lessons are expensive though.","golf lessons","lessons","Specific","142183:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get so worn down","and nurses get so worn down.","","nurses","General","159568:6",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are crippled","that way husbands are crippled,","","husbands","General","9738:9",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","have  to be convinced  of that","but men have  to be convinced  of that.","","men","General","28363:6",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get maternity leave and stuff like that","but, you know, women get maternity leave and stuff like that","","women","General","131139:18",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are awful here","cockroaches are awful here.","","cockroaches","General","1725:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are quite different  there in terms of that","and things are quite different  there in terms of that.","social norms","things","Specific","157:6",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are okay","uh, uh, blues are okay.","","blues","General","148447:14",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart nearly as frequent","women aren&quotechart nearly as frequent,","","women","General","684:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are notorious","i mean, school buses are notorious.","","school buses","General","8185:16",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are not so good in texas job wise","things are not so good in texas job wise.","job market","things","Specific","12771:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","learn at different rates","kids learn at different rates","","kids","General","53689:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are to easy   to get ","quorums are to easy   to get .","","quorums","General","174222:4",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","change","so things change, i guess  .","living situation","things","Specific","1519:8",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are so messy","uh. rollers are so messy.","","rollers","General","142815:9",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are just as much of a blessing inside these material things","but kids are just as much of a blessing inside these material things","","kids","General","47743:6",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are kind of a problem","i mean winters are kind of a problem","","winters","General","67262:12",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart exactly professional","well jeans aren&quotechart exactly professional","","jeans","General","41619:7",1
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are fun","babies are fun,","","babies","General","112537:4",1
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","learn at different rates","kids learn at different rates","school children","kids","Specific","53689:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","cost a lot more","well, things cost a lot more.","","things","General","176:9",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are real high maintenances","well, dogs are real high maintenances,","","dogs","General","59934:9",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are awful here","cockroaches are awful here.","","cockroaches","General","1725:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are crippled","that way husbands are crippled,","","husbands","General","9738:9",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","change","so things change, i guess  .","finances","things","Specific","1519:8",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are so messy","uh. rollers are so messy.","","rollers","General","142815:9",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are to easy   to get ","quorums are to easy   to get .","","quorums","General","174222:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart require mechanics","diesels don&quotechart require mechanics,","","diesels","General","57573:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are not so good in texas job wise","things are not so good in texas job wise.","jobs","things","Specific","12771:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are quite different  there in terms of that","and things are quite different  there in terms of that.","invasion of privacy","things","Specific","157:6",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart cheap anyway","well, new cars aren&quotechart cheap anyway,","","new cars","General","46874:11",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are such a strange configuration anymore","families are such a strange configuration anymore.","","families","General","7279:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are expensive though","lessons are expensive though.","golf lessons","lessons","Specific","142183:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get maternity leave and stuff like that","but, you know, women get maternity leave and stuff like that","working women","women","Specific","131139:18",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are notorious","i mean, school buses are notorious.","buses in Raleigh","school buses","Specific","8185:16",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are out","kids are out.","speaker 2&quotechars prospect of kids","kids","Specific","123596:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are probably the most fickle people in the world","uh, football fans are probably the most fickle people in the world.","American Football","football fans","Specific","137655:11",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are good all the time","but cats are good all the time.","","cats","General","171:6",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are around the house a whole lot more than girls","and little boys are around the house a whole lot more than girls.","Speaker 2&quotechars family","little boys","Specific","116994:8",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are kind of a problem","i mean winters are kind of a problem","Winters in the area","winters","Specific","67262:12",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are okay","uh, uh, blues are okay.","","blues","General","148447:14",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","have  to be convinced  of that","but men have  to be convinced  of that.","Fathers","men","Specific","28363:6",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart parents any more","parents aren&quotechart parents any more.","Today&quotechars parents","parents","Specific","36123:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart exactly professional","well jeans aren&quotechart exactly professional","","jeans","General","41619:7",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are really high","deductibles are really high,","medical","deductibles","Specific","163:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart nearly as frequent","women aren&quotechart nearly as frequent,","mormon","women","Specific","684:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are fun","babies are fun,","","babies","General","112537:4",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are just as much of a blessing inside these material things","but kids are just as much of a blessing inside these material things","","kids","General","47743:6",2
2,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get so worn down","and nurses get so worn down.","elderly care nurses","nurses","Specific","159568:6",2
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are so messy","uh. rollers are so messy.","hair rollers","rollers","Specific","142815:9",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","have  to be convinced  of that","but men have  to be convinced  of that.","dads","men","Specific","28363:6",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are just as much of a blessing inside these material things","but kids are just as much of a blessing inside these material things","","kids","General","47743:6",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are kind of a problem","i mean winters are kind of a problem","","winters","General","67262:12",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart require mechanics","diesels don&quotechart require mechanics,","injector pumps that work on diesel","diesels","Specific","57573:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are really high","deductibles are really high,","deductible for flex benefits plan","deductibles","Specific","163:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart exactly professional","well jeans aren&quotechart exactly professional","","jeans","General","41619:7",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","learn at different rates","kids learn at different rates","kids attending public schools","kids","Specific","53689:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are notorious","i mean, school buses are notorious.","in raleigh","school buses","Specific","8185:16",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are expensive though","lessons are expensive though.","golf lessons","lessons","Specific","142183:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are awful here","cockroaches are awful here.","","cockroaches","General","1725:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are such a strange configuration anymore","families are such a strange configuration anymore.","","families","General","7279:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are fun","babies are fun,","smaller aged babies","babies","Specific","112537:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are real high maintenances","well, dogs are real high maintenances,","","dogs","General","59934:9",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart nearly as frequent","women aren&quotechart nearly as frequent,","attending the church of jesus christ of latter day saints","women","Specific","684:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are probably the most fickle people in the world","uh, football fans are probably the most fickle people in the world.","","football fans","General","137655:11",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are crippled","that way husbands are crippled,","","husbands","General","9738:9",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are good all the time","but cats are good all the time.","","cats","General","171:6",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are to easy   to get ","quorums are to easy   to get .","","quorums","General","174222:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart cheap anyway","well, new cars aren&quotechart cheap anyway,","r x seven or supra","new cars","Specific","46874:11",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are not so good in texas job wise","things are not so good in texas job wise.","job market","things","Specific","12771:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart parents any more","parents aren&quotechart parents any more.","who are asking children to leave the house","parents","Specific","36123:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are okay","uh, uh, blues are okay.","kind of music","blues","Specific","148447:14",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","cost a lot more","well, things cost a lot more.","","things","General","176:9",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are around the house a whole lot more than girls","and little boys are around the house a whole lot more than girls.","grandkids","little boys","Specific","116994:8",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","change","so things change, i guess  .","","things","General","1519:8",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are quite different  there in terms of that","and things are quite different  there in terms of that.","privacy ","things","Specific","157:6",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are out","kids are out.","kis speaker 1 may have","kids","Specific","123596:4",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get so worn down","and nurses get so worn down.","working with elder person","nurses","Specific","159568:6",1
3,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get maternity leave and stuff like that","but, you know, women get maternity leave and stuff like that","working women","women","Specific","131139:18",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart parents any more","parents aren&quotechart parents any more.","","parents","General","36123:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are such a strange configuration anymore","families are such a strange configuration anymore.","","families","General","7279:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get so worn down","and nurses get so worn down.","nurses caring for the elderly","nurses","Specific","159568:6",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are so messy","uh. rollers are so messy.","paint rollers","rollers","Specific","142815:9",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are to easy   to get ","quorums are to easy   to get .","","quorums","General","174222:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","learn at different rates","kids learn at different rates","","kids","General","53689:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are just as much of a blessing inside these material things","but kids are just as much of a blessing inside these material things","","kids","General","47743:6",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are quite different  there in terms of that","and things are quite different  there in terms of that.","privacy norms in a foreign country","things","Specific","157:6",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are around the house a whole lot more than girls","and little boys are around the house a whole lot more than girls.","the four grandsons","little boys","Specific","116994:8",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart cheap anyway","well, new cars aren&quotechart cheap anyway,","","new cars","General","46874:11",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are crippled","that way husbands are crippled,","","husbands","General","9738:9",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are okay","uh, uh, blues are okay.","","blues","General","148447:14",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart nearly as frequent","women aren&quotechart nearly as frequent,","church goers","women","Specific","684:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get maternity leave and stuff like that","but, you know, women get maternity leave and stuff like that","","women","General","131139:18",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart require mechanics","diesels don&quotechart require mechanics,","","diesels","General","57573:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","have  to be convinced  of that","but men have  to be convinced  of that.","","men","General","28363:6",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","change","so things change, i guess  .","","things","General","1519:8",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart exactly professional","well jeans aren&quotechart exactly professional","","jeans","General","41619:7",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are fun","babies are fun,","","babies","General","112537:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are out","kids are out.","the speakers&quotechar kids","kids","Specific","123596:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are awful here","cockroaches are awful here.","cockroaches at the speakers location","cockroaches","Specific","1725:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are good all the time","but cats are good all the time.","","cats","General","171:6",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are real high maintenances","well, dogs are real high maintenances,","","dogs","General","59934:9",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are really high","deductibles are really high,","rnr plan d.","deductibles","Specific","163:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","cost a lot more","well, things cost a lot more.","","things","General","176:9",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are expensive though","lessons are expensive though.","golf lessons","lessons","Specific","142183:4",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are probably the most fickle people in the world","uh, football fans are probably the most fickle people in the world.","","football fans","General","137655:11",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are notorious","i mean, school buses are notorious.","","school buses","General","8185:16",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are kind of a problem","i mean winters are kind of a problem","","winters","General","67262:12",1
4,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are not so good in texas job wise","things are not so good in texas job wise.","jobs opportunities in texas","things","Specific","12771:4",1
