Item_ID	Noun	NP	Verb	VP	BarePlural	Sentence	Context
1415:4	people	people	are	are crazy	people	people are crazy.	###and he's like oh,  thank you so much.###speakera49.###i wonder how many of his lives he missed , when that happened .###speakerb5.###i know,###we wondered about that.###but, uh, oh that was a traumatic experience for us too.###speakera51.###oh, i can imagine,###what did he shoot him with .###speakerb52.###uh, well, uh, from what we can tell  it was a pellet gun###and then he started  chasing him with a bull whip.###speakera53.###oh my gosh.
171:6	cats	cats	are	are good all the time	cats	but cats are good all the time.	###speakerb154.###oh, goodness.###you get so attached to them.###speakera155.###oh definitely.###speakerb156.###my mother has dogs###and i'm like, no.###speakera157.###yeah.###speakerb158.###this is nothing like cats.###speakera159.###you can walk a dog###and that's okay for weekend
11134:8	people	people	are	are really concerned	people	but, people are really concerned,	###and i started  doing that at work.###um, i put out a, a trash can and, and  for people to put their aluminum cans in ,###speakera27.###uh-huh.###speakerb28.###and that's really helped a lot,###i mean, everybody's pitched in###and, you know, it exp doesn't bother them  to walk little bit farther put their aluminum in a can rather than  just throwing it in their trash can.###speakera29.###yeah.###speakerb3.###speakera31.###yeah.###speakerb32.###so, i really, i really like that,
11872:4	people	people	get	get up in the morning in that neighborhood	people	people get up in the morning in that neighborhood	###um,###speakera23.###um, there doesn't seem  to be much emission from them,###but i'm not sure about the rest of the country.###speakerb24.###yeah,###i notice  locally a major problem is kodak.###um, it's interesting###because in order  to, uh, keep with the e p a standards which, which  tend  to be visible, uh, what 's coming out of your smokestack, they do all their emissions at night.###uh, so people get up,###speakera25.###okay,###well, is that right?.###speakerb26.###yeah,
13191:25	people	people	do	do it 	people	when, when would people do it ,	###uh, and, you know, i mean, there have been so many people that  have done it###speakera3.###mumblex.###speakerb4.###and i've talked with several###and i think  they've gotten a lot out of it.###speakera5.###well, are you doing any kind of volunteer work now?###speakerb6.###not right now,###but i have done, uh, red clo-, cross work###and, uh, i've taught c p r training###a-,###speakera7.###what about,
13453:1	friends	friends	call	call	friends	even if friends call it irritates me.	###but i find that very annoying. the, uh, mail stuff,###speakerb56.###uh-huh.###speakera57.###yeah,###you know, it's kind of irritating,###but it's not nearly as obnoxious as the phone calls.###speakerb58.### i think, i think  you mentioning the phone calls during dinner,###speakera59.###speakerb6.###i know  when i sit down with the family and want  to have the opportunity, you know,  to talk and see what 's going on and all those things ,###speakera61.###uh-huh.###speakerb62.
1349:38	machines	answering machines	are	are nice 	machines	but that's, that's where answering machines are nice , because if it's really important they'll leave a message	###speakerb74.### but, so tho-, i guess  those three things are the, uh, uh, most irritating to me.###speakera75.###right.###speakerb76.###speakera77.###uh-huh.###i agree with the phone, too, in that,###i'm single,###but when i come home from work , there's times  i need  to pay bills ,###i need  to balance my checking account,###i need  to do all kinds of different things like that,###and even though it's friends calling, sometimes you just feel like, this is my quiet time,###i need  to get things done ###and the phone ringing bothers me,
13926:14	kids	kids	seem	seem like when they get ten or twelve years old  they fall out of that	kids	you know, kids seem like when they get ten or twelve years old  they fall out of that,	###uh, uh, what i'm thinking about  is  back, well, when i was a kid , and much earlier than that, kids were kind of, i-, i-, you know,###the parents kind of pushed them to join, like the boy scouts or girl scouts###and they did, do, do do a lot of public service activities,###but these days they're not, uh,### par-, parents aren't encouraging their kids to do things like that.###because when i was in the girl scouts , we did a lot of public service things, because that's just part o-, of, of the scouting, and, you know.###speakera12.###yeah,### i've, i've,###that's really great.### i, i really think that both the boy scouts and girl scouts is a excellent, two excellent organizations.###speakerb13.###they are ###but parents,###speakera14.
14725:84	people	something that many people don't realize 	do	don't realize 	people	well, but you know, the, the strange thing, uh, perhaps, not strange, but something that many people don't realize , is that you can go back as far as nineteen fifty-one and fifty-two and find that there were drug dealers at that time trying  to influence the high school kids,	###yeah.###speakera47.###and, uh, somebody walks in there with a gun.###i mean, they're going  to want the money,###and you can tell by the people who  are always caught , that these people are there  to get money for drugs.###i mean, they don't want the money so, uh, so they can do something else with it.###speakerb48.###no,###they don't want the money for food,###that's for sure.###speakera49.###right,###right,###and so.###speakerb5.
15223:64	people	people	get	get older 	people	but i think  a lot of it's, you know, when the-, people get older , they'll do something like that.	###speakerb62.###yeah,###m-,###speakera63.###and the peace corps or something like that is probably useful as, as that kind of a time.###speakerb64.###yeah,###maybe a little bit in that perspective,### but, uh, and a lot of people have gone in the military, i mean, you know, when they're in the college .###sometimes it's  to sup-, help  support college, you know, the money.###speakera65.###uh-huh.###speakerb66.###uh, others, people don't know what they want  to do .###but as far as, uh, you know, the peace corps. i guess, i suppose  there's a few people that  have done it at that point in their lives.
16147:39	people	people	get	get tired of  eating junk	people	vegetable trays always go over so well, because i think  people get tired of  eating junk.	### i won't make, i won't have a sharp cheddar because it, for fondue i think  it should be a little calmer than real sharp, cheddar.###speakerb12.###right.###speakera13.###speakerb14.###yeah.###speakera15.###and then i was going  to make other things like potato skins.###speakerb16.###oh, that sounds good.###speakera17.### it-, see you don't necessarily have  to dip this stuff.###and, um, i was going  to have broccoli and cauliflower for a, a vegetable.###speakerb18.###that's always a good thing.
1713:24	people	people	are	are 	people	and it helps  explain who people are .	###uh-huh.###speakerb54.###and i like that because it's a, it's real easy   to, uh, follow  for her, you know, uh,###gosh, if, if i read straight out of the bible to her she'd never understand any of it.###speakera55.###well, it's hard for me.###speakerb56.###that's right.###speakera57.###speakerb58.### it is, it is real hard   to, to follow and understand ,###speakera59.###uh-huh.###speakerb6.###and, uh, i've got a bible that, uh,  has a little bit of a, uh, a glossary in the back
183:38	people	people	face	face 	people	that's what, that's what people face  with that choice.	###speakera35.###you know?###i'm not saying innocent person,### let's say  someone wrote a hot check, for instance.###you know, it seems like when they go to prison , it, they really seem like it's a rough time for them###speakerb36.###uh-huh.###speakera37.###and a murderer well go to prison,###oh, he's just there  to serve his time, and get back out on the street.###speakerb38.### and, and  be paroled , and and have served the sentence,###speakera39.###yeah.###speakerb4.
1874:27	people	more and more innocent people	are	are hurt or killed 	people	and and more and more innocent people are hurt or killed 	###but it's,###speakerb62.###speakera63.### i, i know.###speakerb64.###because they let them back out again,###and they do the same thing over, and over, again,###speakera65.###same thing,###speakerb66.###speakera67.###yes.###speakerb68.###then they put them back in jail,###and they get out,
18838:16	wants	needs and wants	are	aren't necessarily the same thing	wants	of course, needs and wants aren't necessarily the same thing.	###oh, okay.###okay.###oh, well, it sounds like you're pretty much into computers.###speakerb54.###well, i sure need them.###uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them.###speakera55.###i can believe that.###well, it's, it's been interesting.###speakerb56.###yes,###uh, maybe you'll play around some and figure out how they can help you do different things .###i think  that's when you, you start  deciding that you really need greater assets than you already have  . when you start  seeing what all they can do  for you .###speakera57.###yeah,
1928:42	things	things	are	are getting recycled 	things	but now, you know, i don't mind as long as things are getting recycled , you know, that we don't get reimbursed .	###yeah.###speakerb5.###because, you know, i've talked to many people###and we wouldn't mind  going its extra effort  to do it.###uh,###speakera51.###if they make it so that it's not a horrendous inconvenience, i think  most people would .###speakerb52.###yeah,###oh, yeah. you know,###and i don't mind, you know,###at first it was the, the little extra money that you got , you know,  returning the cans in and stuff like that.###speakera53.###right.###speakerb54.
19183:28	people	very few people	have	have enough  to make it worthwhile	people	the difficulty with that is that very few people have enough  to make it worthwhile.	###speakerb116.###no.###speakera117.###they don't compress at all.###and they stay forever.###speakerb118.###right.###and i've seen where some places have taken a plastic  and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that ###speakera119.###uh-huh.###speakerb12.###and i think  that would be great if they could get something organized  along those lines.###speakera121.###yeah,###i do too.
19933:17	people	not too many people	have	have read that one	people	now, not too many people have read that one i don't think  .	###speakera115.###yeah.###speakerb116.###and i just, i got about like a hundred pages through it and realized  i had like a thousand more,###i thought, i can't do this.###speakera117.###yeah,###it really### the, the books are kind of, uh, imposing  to say the least.###speakerb118.###yeah.###speakera119.###no,### let's see,###here's  one called  ghost towns and mining camps of new mexico
21966:18	people	people	say	say, you know,  it exp's expensive  to think  it's college	people	and, you know, people say, you know,  it exp's expensive  to think  it's college,	###speakera18.###that's right,###but you can't take this money with us, though###speakerb19.###yeah.###speakera11.###that's how i keep  looking at it .###speakerb111.###but, you know, like, four, i mean fou-, four children is expensive, especially when you consider like, especially for me, which i'm paying out of state tuition.###i'm paying, you know, three thousand,###no,###what is it , two thousand six hundred dollars for one semester.###speakera112.###oh.###speakerb113.
22387:13	people	people	run	run in the park	people	and, uh, people run in the park,	###they're very bold it seems  .###speakerb1.###uh-huh,###very much.###when we moved here to monterrey  it was a big change, because it's such a small community,###we're just above carmel,###and, um, there's hardly,###most everybody seems pretty well employed around here,###and um, those that  aren't,###there's celinas which  is about a fifteen minute drive, which  is mostly migrant workers,###and there's a lot of crime there, um,###migrant hispanic farm workers, people that  are down and out,###and uh, they all seem  to congregate in celinas, not so much here in monterrey.###so, it's, it's pretty quiet. you know,###we walk the streets at night,
22414:4	people	people	are	are just totally unfeeling	people	people are just totally unfeeling.	###speakera13.###so you wouldn't get confronted  or anything###speakerb14.###right.###speakera15.###but i don't think  you would , uh,###someone might grab you, mess around with you,###but they're not going  to grab you, steal you-, your money and slit your throat which in a lot of big cities###speakerb16.###uh-huh.###speakera17.###speakerb18.###yeah.###speakera19.###i mean that's what you, you're going  to have  to expect  that to happen.
23379:12	people	people	do	don't have room for that kind of stuff	people	you know people don't have room for that kind of stuff.	###yeah.###speakera93.###you know, if we go out and pick up a bunch of cans from people, sure they'll save them for us,###there's no problem there.###speakerb94.###uh-huh.###speakera95.###but what do you do  with them in the meantime?###speakerb96.###that's right.###speakera97.###now i don't want a can, a garage full of cans.###speakerb98.###that's right,###who  does.
24791:16	people	people	are	are trapped  economically	people	but, of course, people are trapped  economically	###yes,###well, yeah###i am .###oh,###speakerb8.###okay.###speakera9.### a-, actually i think that, i, higher level education,###i don't think  there's so much of a problem there.###it's pretty much funded  well.###there are small colleges that i'm sure   are struggling###but, uh, it's the job that the, the high school and the grade schools are doing  that i see, in a area like ours,###our school,###even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider  moving if i had a child.###i wouldn't let them go to a public school system there.
25631:2	people	people	do	don't want  to play with somebody that they are going  to beat  every time, you know	people	and, and people don't want  to play with somebody that they are going  to beat  every time, you know	###that seem  to be the hardest thing.###speakera61.###yeah.###speakerb62.###well, about,### that's, that's true of any sport, you know.###if you want  to play tennis, or racquetball,###speakera63.###yeah###speakerb64.###speakera65.###you don't want  to go out and get beat  to death,###but.###speakerb66.###right,
2625:64	people	people	interact	interact with them 	people	it's, it's really  looking at systems and design systems and seeing how people interact with them .	###speakera141.###yeah.###i've got a nice little business at home,###and i sit around and tinker with that most of the time.###speakerb142.###so what are you getting your degree in ?###speakera143.###um, uh, human factors.###speakerb144.###and what do you do  with it?###speakera145.###not a thing.###speakerb146.###well, what is it ?###speakera147.
27223:6	things	things	are	are getting worse	things	and things are getting worse.	###speakera121.### money, money is not the answer.###speakerb122.###taking,###speakera123.###speakerb124.###no.###there's plenty of money in the system,###speakera125.###yeah.###speakerb126.###it's just,###speakera127.###yeah.###i mean, the-, they're throwing more money ich at it now than ever before
27281:9	lawyers	lawyers	help	help  create that	lawyers	well, lawyers help  create that.	###speakerb148.###speakera149.### i mean, i, i mean teachers are so afraid ich now of  even saying something, to students because they're going get, they're going  to get complaints or they're going  to get sued  or something.###speakerb15.###uh-huh.###speakera151.###speakerb152.###it's like doctors in lawsuits,###speakera153.###oh yeah.###speakerb154.###you know, they're kind of fearful of, everything.###speakera155.###speakerb156.###speakera157.
2731:27	parents	parents	have	have quit  becoming parents	parents	and the other part of it is  parents have quit  becoming parents.	###speakera159.###speakerb16.###but mumblex,###uh-huh.###speakera161.###well, i think, i think,  i, i mean what we've turned the school schools into  now are just day-care centers###speakerb162.###speakera163.###you know, somebody,###okay,###we're going  to send our kid here for seven or eight hours a day###and he's out of our hair.###speakerb164.###right.###speakera165.
27345:1	groups	certain religious groups	do	don't want their children in public schools because the influence	groups	but certain religious groups don't want their children in public schools because the influence.	###speakerb176.###yeah.###they allow it under certain circumstances.###you have  to, to prove that you're teaching them something.###you have  to follow, a preferred curriculum,###speakera177.###uh-huh.###speakerb178.###um, they try  to encourage you to follow a specific curriculum, although you don't have  to .###speakera179.###uh-huh.###speakerb18.###and then if you have particular religious beliefs they have  to be, they're kind of monitored .###you know, they, they will allow you to,###i can't think of any examples
2797:94	people	other people	take	take  for granted, in composition themes	people	and then i inevitably discover that i have no innate music talent relative to composition and that i struggle and really can't quite understand what is  that other people take  for granted, in composition themes	###yeah.###speakerb44.###and i have, uh, returned about every four or five years to  thinking that i would like  to do something about it.###i usually get to the point where i can play some of my favorite themes ###and then inevitably i am swept  away by the, the pressure of other types of things,###speakera45.###yeah.###speakerb46.###uh,###speakera47.###it is a time consumer.###speakerb48.###it is .###in order  to continue  to, to grow and### i, i always think that i'll be able  to do it
27912:8	things	keys and things	are	are something ich to me that  remain a mystery no matter how many times i bang  on them	things	keys and things are something ich to me that  remain a mystery no matter how many times i bang  on them.	###speakera45.###yeah.###speakerb46.###uh,###speakera47.###it is a time consumer.###speakerb48.###it is .###in order  to continue  to, to grow and### i, i always think that i'll be able  to do it###and then i inevitably discover that i have no innate music talent relative to composition and that i struggle and really can't quite understand what is  that other people take  for granted, in composition themes###speakera49.###yeah.###speakerb5.###and i,
28168:6	jobs	jobs	have	have  to, i guess, become more flexible	jobs	so jobs have  to, i guess, become more flexible.	###speakera72.###the thing that i'm doing  is  taking school pictures in day cares and in mother's day out programs, and also soccer teams, and, you know, different stuff like that.###speakerb73.###yeah.###speakera74.###speakerb75.###yeah.###speakera76.###speakerb77.###uh-huh.###speakera78.###so my kids can be in day care for a few hours a week,###or my husband, if it's, you know, uh, when he's at home , can take care of them.###speakerb79.###yeah,
28363:6	men	men	have	have  to be convinced  of that	men	but men have  to be convinced  of that.	###yeah,###well, she's usually in bed by this time,###but she's staying up late tonight.###but,###yeah,###i want  to have a relationship with her.###you know, my dad was a very traditional dad,###and when i was a child  i didn't really know my dad very well,###and i miss that.###and i want,###speakera158.###that's the thing,### if woman's role, like we said, if women's roles change drastically, men's roles will,  too.###speakerb159.###yeah,
